"anon_Mill" "anon_Sense" "anon_Villette"
"all" 0.373274327769493 0.548494983277592 0.365632595888436
"which" 0.397325508682476 0.495819397993311 0.34554855188893
"from" 0.367502044350378 0.452341137123746 0.325464507889424
"if" 0.456491413728414 0.244983277591973 0.201355415482223
"this" 0.381932752898167 0.364548494983278 0.51343056070531
"mr" 0.447351964981481 0.148829431438127 0.0236888724096733
"what" 0.33671653278176 0.37123745819398 0.323404605940757
"were" 0.326615036798307 0.368729096989967 0.373357228195938
"an" 0.391072201645101 0.287625418060201 0.316709924607589
"could" 0.233777478474193 0.483277591973244 0.276026861121411
"been" 0.353071335802588 0.368729096989967 0.183846248918551
"or" 0.19625763624994 0.297658862876254 0.424339801425452
"when" 0.370388186059936 0.255852842809365 0.246673258352902
"they" 0.303044879503584 0.433946488294314 0.231223993737898
"there" 0.307374092067921 0.199832775919732 0.268302228813908
"will" 0.171725431718697 0.297658862876254 0.218864582045895
"your" 0.245322045312425 0.32190635451505 0.206505170353891
"one" 0.249170234258502 0.268394648829431 0.275511885634244
"very" 0.225119053345519 0.418060200668896 0.200325464507889
"more" 0.258790706623695 0.340301003344482 0.195175709636221
"do" 0.219346769926403 0.27257525083612 0.197750587072055
"them" 0.183751022175189 0.391304347826087 0.184876199892885
"now" 0.215979604598586 0.198160535117057 0.255427841634738
"are" 0.183751022175189 0.195652173913043 0.204960243892391
"than" 0.206359132233393 0.301839464882943 0.19208585671322
"their" 0.191928423685603 0.414715719063545 0.169426935277881
"mrs" 0.281879840300159 0.44314381270903 0.0798212005108557
"little" 0.193371494540382 0.133779264214047 0.264182424916574
"who" 0.248208187021983 0.224916387959866 0.126683969843035
"should" 0.1967386598682 0.197324414715719 0.136468504099205
"out" 0.263119919188032 0.134615384615385 0.190025954764553
"any" 0.194333541776901 0.326086956521739 0.0947554896386932
"some" 0.192409447303863 0.179765886287625 0.229679067276398
"must" 0.178459762374333 0.236622073578595 0.146768013842541
"we" 0.175092597046515 0.179765886287625 0.174576690149549
"then" 0.203472990523835 0.12876254180602 0.179726445021217
"up" 0.23762566742027 0.092809364548495 0.15500762163721
"know" 0.1967386598682 0.193979933110368 0.162217278457545
"like" 0.261195824714994 0.0668896321070234 0.197235611584889
"did" 0.12554716436577 0.206521739130435 0.242553454455568
"well" 0.181345904083891 0.184782608695652 0.173546739175215
"about" 0.207321179469912 0.120401337792642 0.133893626663371
"never" 0.18230795132041 0.158026755852843 0.144708111893874
"such" 0.102939054307567 0.300167224080268 0.156037572611544
"much" 0.149598345278753 0.24247491638796 0.127713920817369
"only" 0.172206455336957 0.239966555183946 0.123594116920035
"into" 0.193852518158642 0.0961538461538462 0.154492646150043
"think" 0.164510077444803 0.175585284280936 0.125139043381535
"see" 0.18230795132041 0.144648829431438 0.110204754253698
"before" 0.150079368897013 0.167224080267559 0.10814485230503
"own" 0.142382991004858 0.22742474916388 0.136983479586372
"how" 0.0957237000336717 0.197324414715719 0.168911959790714
"might" 0.13997787291356 0.179765886287625 0.128743871791703
"too" 0.138053778440521 0.157190635451505 0.146768013842541
"can" 0.15440858146135 0.174749163879599 0.0731265191776871
"am" 0.0505074799172639 0.228260869565217 0.124109092407201
"time" 0.115445668382318 0.199832775919732 0.120504263997034
"good" 0.144788109096157 0.123745819397993 0.118959337535533
"come" 0.205397084996873 0.0852842809364548 0.100420219997528
"has" 0.0986098417432296 0.17809364548495 0.0798212005108557
"thought" 0.158737794025687 0.096989966555184 0.158097474560211
"say" 0.140939920150079 0.133779264214047 0.105054999382029
"other" 0.161142912116985 0.155518394648829 0.0973303670745272
"go" 0.175092597046515 0.0819397993311037 0.0793062250236889
"again" 0.180864880465631 0.122909698996656 0.0684917397931858
"man" 0.134686613112704 0.0994983277591973 0.084455979895357
"made" 0.161623935735245 0.115384615384615 0.124109092407201
"after" 0.109192361344942 0.168896321070234 0.0829110534338565
"miss" 0.0745586608302468 0.175585284280936 0.0782762740493552
"make" 0.136129683967483 0.116220735785953 0.0710666172290199
"shall" 0.0976477945067103 0.107023411371237 0.0669468133316854
"its" 0.0745586608302468 0.111204013377926 0.211654925225559
"being" 0.0870652749049978 0.137959866220736 0.100420219997528
"nothing" 0.100533936216268 0.156354515050167 0.0731265191776871
"without" 0.12602818798403 0.146321070234114 0.0715815927161867
"himself" 0.110635432199721 0.0953177257525084 0.0561323281011824
"may" 0.0697484246476502 0.146321070234114 0.067976764306019
"first" 0.0913944874693347 0.133779264214047 0.104025048407696
"way" 0.136129683967483 0.0618729096989967 0.0798212005108557
"down" 0.133724565876185 0.06438127090301 0.107629876817863
"though" 0.0716725191206888 0.180602006688963 0.076216372100688
"over" 0.0885083457597768 0.0819397993311037 0.109174803279364
"long" 0.0880273221415172 0.0852842809364548 0.120504263997034
"every" 0.0567607869546395 0.315217391304348 0.0448028673835125
"away" 0.119774880946654 0.0936454849498328 0.0643719358958514
"while" 0.106787243253644 0.0911371237458194 0.0808511514851893
"still" 0.0788878733945837 0.0836120401337793 0.118444362048367
"day" 0.0875462985232575 0.117892976588629 0.115869484612532
"us" 0.0909134638510751 0.0752508361204013 0.076216372100688
"where" 0.105344172398865 0.0760869565217391 0.0978453425616941
"two" 0.0711914955024292 0.126254180602007 0.0865158818440242
"yet" 0.0509885035355236 0.0652173913043478 0.167367033329214
"last" 0.095242676415412 0.0852842809364548 0.0880608083055247
"mind" 0.141420943768339 0.0836120401337793 0.054587401639682
"always" 0.114002597527539 0.103678929765886 0.0674617888188522
"look" 0.123142046274472 0.0568561872909699 0.0921806122028591
"our" 0.0711914955024292 0.0618729096989967 0.0741564701520208
"herself" 0.0668622829380923 0.213210702341137 0.0551023771268488
"don^t" 0.150560392515273 0.020066889632107 0.0587072055370164
"seemed" 0.0774448025398047 0.0760869565217391 0.137498455073539
"great" 0.0990908653614893 0.124581939799331 0.0695216907675195
"better" 0.0841791331954399 0.0652173913043478 0.0587072055370164
"came" 0.0942806291788927 0.0744147157190636 0.0926955876900259
"quite" 0.100533936216268 0.0777591973244147 0.0901207102541919
"take" 0.0875462985232575 0.0376254180602007 0.0767313475878548
"eyes" 0.111116455817981 0.0468227424749164 0.111749680715198
"tell" 0.0851411804319592 0.0752508361204013 0.0659168623573518
"young" 0.0750396844485064 0.0861204013377926 0.0576772545626828
"old" 0.100533936216268 0.0359531772575251 0.0813661269723561
"felt" 0.104382125162345 0.088628762541806 0.0731265191776871
"life" 0.132762518639665 0.048494983277592 0.0823960779466897
"here" 0.0692674010293905 0.0510033444816054 0.0880608083055247
"most" 0.0509885035355236 0.12876254180602 0.0731265191776871
"ever" 0.0779258261580644 0.141304347826087 0.0617970584600173
"even" 0.0885083457597768 0.104515050167224 0.076216372100688
"just" 0.0692674010293905 0.0568561872909699 0.0860009063568574
"looked" 0.0803309442493626 0.0510033444816054 0.0921806122028591
"hand" 0.0760017316850257 0.0326086956521739 0.115869484612532
"myself" 0.0298234643320987 0.0861204013377926 0.0999052445103613
"soon" 0.0548366924816008 0.15133779264214 0.0499526222551807
"love" 0.0851411804319592 0.0635451505016722 0.0468627693321798
